size,code,brand,model,factory price,DOT#1-1,DOT#1-2,DOT#2-1,DOT#2-2,DOT#3,DOT#4-1,DOT#4-2,DOT#5-1,DOT#5-2,DOT#9,제품명
2156516,TBDHPS27,브리지스톤,DHPS HP스포츠,"404,690",,,,,,,,,,,215/65R16 (브리지스톤) DHPS HP스포츠
2255518,TBDHPS28,브리지스톤,DHPS HP스포츠,"477,510",,,,,,,,,,,225/55R18 (브리지스톤) DHPS HP스포츠
2556018,TBDHPS30,브리지스톤,DHPS HP스포츠,"559,460",,,,,,,,,,,255/60R18 (브리지스톤) DHPS HP스포츠
2555518,TBDHPS31,브리지스톤,DHPS HP스포츠,"563,640",,,,,,,,,,,255/55R18 (브리지스톤) DHPS HP스포츠
2355519,TBDHPS36,브리지스톤,DHPS HP스포츠,"500,500",,,,,,,,,,,235/55R19 (브리지스톤) DHPS HP스포츠
2654520,TBDHPS37,브리지스톤,DHPS HP스포츠,"547,030",,,,,,,,,,,265/45R20 (브리지스톤) DHPS HP스포츠
2356018,TBDHPS38,브리지스톤,DHPS HP스포츠,"498,850",,,,,,,,,,,235/60R18 (브리지스톤) DHPS HP스포츠
,TBDHPSAS00,#N/A,#N/A,0,,,,,,,,,,,< 듀엘러 HP 스포츠 AS >
2355520,TBDHPSAS01,브리지스톤,DHPS AS,"655,270",,,,,,,,,,,235/55R20 (브리지스톤) DHPS AS
2356018,TBDHPSAS02,브리지스톤,DHPS AS GV70,"269,940",,,,,,,,,,,235/60R18 (브리지스톤) DHPS AS GV70
2455020,TBDHPSAS03,브리지스톤,DHPS AS 팰리세이,"402,270",,,,,,,,,,,245/50R20 (브리지스톤) DHPS AS 팰리세이
2456018,TBDHPSAS04,브리지스톤,DHPS AS 팰리세이,"374,660",,,,,,,,,,,245/60R18 (브리지스톤) DHPS AS 팰리세이
,TBDRHS00,#N/A,#N/A,0,,,,,,,,,,,< 듀얼러 AT RHS >
2457517,TBDRHS01,브리지스톤,DRHS 듀얼러AT RHS,"389,840",,,,,,,,,,,245/75R17 (브리지스톤) DRHS 듀얼러AT RHS
2555520,TBDRHS02,브리지스톤,DRHS 듀얼러AT RHS,"483,890",,,,,,,,,,,255/55R20 (브리지스톤) DRHS 듀얼러AT RHS
2557018,TBDRHS03,브리지스톤,DRHS 듀얼러AT RHS,"450,230",,,,,,,,,,,255/70R18 (브리지스톤) DRHS 듀얼러AT RHS
2557517,TBDRHS04,브리지스톤,DRHS 듀얼러AT RHS,"435,050",,,,,,,,,,,255/75R17 (브리지스톤) DRHS 듀얼러AT RHS
,TBDRIVE+00,#N/A,#N/A,0,,,,,,,,,,,< 드라이브가드+ RFT >
2055516,TBDRIVE+01,브리지스톤,드라이브가드+ RFT,"243,100",,,,,,,,,,,205/55R16 (브리지스톤) 드라이브가드+ RFT
2254018,TBDRIVE+02,브리지스톤,드라이브가드+ RFT,"389,950",,,,,,,,,,,225/40R18 (브리지스톤) 드라이브가드+ RFT
2254517,TBDRIVE+03,브리지스톤,드라이브가드+ RFT,"289,300",,,,,,,,,,,225/45R17 (브리지스톤) 드라이브가드+ RFT
2255017,TBDRIVE+04,브리지스톤,드라이브가드+ RFT,"303,380",,,,,,,,,,,225/50R17 (브리지스톤) 드라이브가드+ RFT
2255517,TBDRIVE+05,브리지스톤,드라이브가드+ RFT,"316,360",,,,,,,,,,,225/55R17 (브리지스톤) 드라이브가드+ RFT
2355518,TBDRIVE+06,브리지스톤,드라이브가드+ RFT,"326,590",,,,,,,,,,,235/55R18 (브리지스톤) 드라이브가드+ RFT
2454518,TBDRIVE+07,브리지스톤,드라이브가드+ RFT,"400,180",,,,,,,,,,,245/45R18 (브리지스톤) 드라이브가드+ RFT
2254518,TBDRIVE+08,브리지스톤,드라이브가드+ RFT,"385,660",,,,,,,,,,,225/45R18 (브리지스톤) 드라이브가드+ RFT
2454018,TBDRIVE+09,브리지스톤,드라이브가드+ RFT,"358,490",,,,,,,,,,,245/40R18 (브리지스톤) 드라이브가드+ RFT
2454019,TBDRIVE+10,브리지스톤,드라이브가드+ RFT,"483,120",,,,,,,,,,,245/40R19 (브리지스톤) 드라이브가드+ RFT
,TBECO00,#N/A,#N/A,0,,,,,,,,,,,< ECO 투란자 에코 >
2354521,TBECO01,브리지스톤,ECO 투란자 에코,"608,630",,,,,,,,,,,235/45R21 (브리지스톤) ECO 투란자 에코
2355020,TBECO02,브리지스톤,ECO 투란자 에코,"495,660",,,,,,,,,,,235/50R20 (브리지스톤) ECO 투란자 에코
2355519,TBECO03,브리지스톤,ECO 투란자 에코,"485,210",,,,,,,,,,,235/55R19 (브리지스톤) ECO 투란자 에코
2356018,TBECO04,브리지스톤,ECO 투란자 에코,"443,520",,,,,,,,,,,235/60R18 (브리지스톤) ECO 투란자 에코
2554021,TBECO05,브리지스톤,ECO 투란자 에코,"611,270",,,,,,,,,,,255/40R21 (브리지스톤) ECO 투란자 에코
2554520,TBECO06,브리지스톤,ECO 투란자 에코,"511,720",,,,,,,,,,,255/45R20 (브리지스톤) ECO 투란자 에코
2555019,TBECO07,브리지스톤,ECO 투란자 에코,"501,270",,,,,,,,,,,255/50R19 (브리지스톤) ECO 투란자 에코
2256517,TBECO08,브리지스톤,ECO 투란자 에코,"313,170",,,,,,,,,,,225/65R17 (브리지스톤) ECO 투란자 에코
2355020,TBECO09,브리지스톤,ECO 투란자 에코,"560,670",,,,,,,,,,,235/50R20 (브리지스톤) ECO 투란자 에코
,TBEL40000,#N/A,#N/A,0,,,,,,,,,,,< EL400 투란자 >
2155517,TBEL40004,브리지스톤,EL400 투란자,"339,900",,,,,,,,,,,215/55R17 (브리지스톤) EL400 투란자
2554018,TBEL40009,브리지스톤,EL400 투란자,"690,250",,,,,,,,,,,255/40R18 (브리지스톤) EL400 투란자
2055516,TBEL40011,브리지스톤,EL400 투란자,"312,400",,,,,,,,,,,205/55R16 (브리지스톤) EL400 투란자
2355518,TBEL40015,브리지스톤,EL400 RFT 투란자,"629,530",,,,,,,,,,,235/55R18 (브리지스톤) EL400 RFT 투란자
,TBEL400II00,#N/A,#N/A,0,,,,,,,,,,,< 브리지스톤 EL400 II>
1756515,TBEL400II01,브리지스톤,EL400 II 투란자,"179,740",,,,,,,,,,,175/65R15 (브리지스톤) EL400 II 투란자
2254518,TBEL400II06,브리지스톤,EL400 II 투란자,"244,970",,,,,,,,,,,225/45R18 (브리지스톤) EL400 II 투란자
,TBEL44000,#N/A,#N/A,0,,,,,,,,,,,< EL440 투란자 >
2354518,TBEL44003,브리지스톤,EL440 투란자,"408,320",,,,,,,,,,,235/45R18 (브리지스톤) EL440 투란자
2356018,TBEL44004,브리지스톤,EL440 투란자,"361,680",,,,,,,,,,,235/60R18 (브리지스톤) EL440 투란자
2355519,TBEL44005,브리지스톤,EL440 투란자,"558,360",,,,,,,,,,,235/55R19 (브리지스톤) EL440 투란자
,TBEL45000,#N/A,#N/A,0,,,,,,,,,,,< EL450 투란자 >
2454520,TBEL45001,브리지스톤,EL450 투란자 RFT,"717,200",,,,,,,,,,,245/45R20 (브리지스톤) EL450 투란자 RFT
2454520,TBEL45003,브리지스톤,EL450 투란자,"662,640",,,,,,,,,,,245/45R20 (브리지스톤) EL450 투란자
2255018,TBEL45004,브리지스톤,EL450 투란자 RFT,"485,760",,,,,,,,,,,225/50R18 (브리지스톤) EL450 투란자 RFT
2354019,TBEL45005,브리지스톤,EL450 투란자,"470,250",,,,,,,,,,,235/40R19 (브리지스톤) EL450 투란자
2754020,TBEL45006,브리지스톤,EL450 투란자,"876,370",,,,,,,,,,,275/40R20 (브리지스톤) EL450 투란자
2254521,TBEL45007,브리지스톤,EL450 투란자,"546,700",,,,,,,,,,,225/45R21 (브리지스톤) EL450 투란자
2356018,TBEL45008,브리지스톤,EL450 투란자,"372,900",,,,,,,,,,,235/60R18 (브리지스톤) EL450 투란자
2555518,TBEL45009,브리지스톤,EL450 투란자,"389,180",,,,,,,,,,,255/55R18 (브리지스톤) EL450 투란자
,TBEP15000,#N/A,#N/A,0,,,,,,,,,,,< EP150 에코피아 >
2055516,TBEP15002,브리지스톤,EP150 에코피아,"154,880",,,,,,,,,,,205/55R16 (브리지스톤) EP150 에코피아
,TBEP30000,#N/A,#N/A,0,,,,,,,,,,,< EP300 에코피아 >
2454518,TBEP30001,브리지스톤,EP300 에코피아,"197,230",,,,,,,,,,,245/45R18 (브리지스톤) EP300 에코피아
2155517,TBEP30002,브리지스톤,EP300 에코피아,"180,070",,,,,,,,,,,215/55R17 (브리지스톤) EP300 에코피아
1856515,TBEP30003,브리지스톤,EP300 에코피아,"153,120",,,,,,,,,,,185/65R15 (브리지스톤) EP300 에코피아
1955515,TBEP30004,브리지스톤,EP300 에코피아,"156,310",,,,,,,,,,,195/55R15 (브리지스톤) EP300 에코피아
1956015,TBEP30005,브리지스톤,EP300 에코피아,"151,030",,,,,,,,,,,195/60R15 (브리지스톤) EP300 에코피아
1956515,TBEP30006,브리지스톤,EP300 에코피아,"154,660",,,,,,,,,,,195/65R15 (브리지스톤) EP300 에코피아
2056515,TBEP30007,브리지스톤,EP300 에코피아,"157,300",,,,,,,,,,,205/65R15 (브리지스톤) EP300 에코피아
2055516,TBEP30008,브리지스톤,EP300 에코피아,"161,480",,,,,,,,,,,205/55R16 (브리지스톤) EP300 에코피아
2056516,TBEP30009,브리지스톤,EP300 에코피아,"210,100",,,,,,,,,,,205/65R16 (브리지스톤) EP300 에코피아
2156016,TBEP30010,브리지스톤,EP300 에코피아,"186,340",,,,,,,,,,,215/60R16 (브리지스톤) EP300 에코피아
2256016,TBEP30011,브리지스톤,EP300 에코피아,"199,320",,,,,,,,,,,225/60R16 (브리지스톤) EP300 에코피아
2155017,TBEP30012,브리지스톤,EP300 에코피아,"174,020",,,,,,,,,,,215/50R17 (브리지스톤) EP300 에코피아
2254517,TBEP30013,브리지스톤,EP300 에코피아,"180,180",,,,,,,,,,,225/45R17 (브리지스톤) EP300 에코피아
2255017,TBEP30014,브리지스톤,EP300 에코피아,"188,760",,,,,,,,,,,225/50R17 (브리지스톤) EP300 에코피아
2255517,TBEP30015,브리지스톤,EP300 에코피아,"191,180",,,,,,,,,,,225/55R17 (브리지스톤) EP300 에코피아
2354518,TBEP30017,브리지스톤,EP300 에코피아,"196,790",,,,,,,,,,,235/45R18 (브리지스톤) EP300 에코피아
,TBEP4200,#N/A,#N/A,0,,,,,,,,,,,< EP42 에코피아 >
1756014,TBEP4201,브리지스톤,EP42 에코피아 RAY,"142,230",,,,,,,,,,,175/60R14 (브리지스톤) EP42 에코피아 RAY
,TBEP422+00,#N/A,#N/A,0,,,,,,,,,,,< EP422+ 에코피아 >
1956515,TBEP422+01,브리지스톤,EP422+ 에코피아,"199,650",,,,,,,,,,,195/65R15 (브리지스톤) EP422+ 에코피아
